,CO_UF_RESIDENCIA,NU_IDADE,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,TP_DEPENDENCIA_ADM_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DISLEXIA,IN_DISCALCULIA,IN_SABATISTA,IN_GESTANTE,IN_IDOSO,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
0,41,22,3,1,1,5,1,,0,,0,0,0,0,0,0,0,0,1,1,1,464.8,443.5,431.8,0,1.0,120.0,80.0,80.0,100.0,40.0,420.0
1,21,26,3,1,1,8,1,,0,,0,0,0,0,0,0,0,0,1,1,1,391.1,491.1,548.0,1,1.0,120.0,120.0,120.0,120.0,100.0,580.0
2,23,21,1,1,2,0,2,3.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,595.9,622.7,613.6,0,1.0,80.0,40.0,40.0,80.0,80.0,320.0
3,15,27,3,1,1,8,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
4,41,18,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,592.9,492.6,571.4,1,1.0,100.0,80.0,60.0,80.0,0.0,320.0
5,43,18,3,1,1,1,1,,0,,0,0,0,0,0,0,0,0,1,1,1,414.5,568.5,542.5,1,1.0,120.0,120.0,120.0,120.0,80.0,560.0
6,35,17,1,1,2,0,3,1.0,0,4.0,0,0,0,0,0,0,0,0,1,1,1,485.7,654.6,606.6,0,1.0,140.0,120.0,120.0,120.0,120.0,620.0
7,23,17,3,2,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,423.2,521.0,451.8,0,1.0,100.0,80.0,80.0,100.0,60.0,420.0
8,51,18,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,414.4,577.6,548.6,1,1.0,120.0,160.0,160.0,140.0,160.0,740.0
9,15,17,3,2,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,456.8,518.5,488.7,0,1.0,120.0,120.0,120.0,120.0,100.0,580.0
10,24,20,3,1,1,2,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
11,24,31,1,1,1,10,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
12,26,22,3,2,1,5,1,,0,,0,0,0,0,0,0,0,0,1,1,1,428.3,495.1,534.3,1,1.0,140.0,120.0,100.0,120.0,100.0,580.0
13,25,18,2,1,1,1,1,,0,,0,0,0,0,0,0,0,0,1,1,1,597.2,606.7,525.5,0,1.0,120.0,80.0,120.0,120.0,80.0,520.0
14,43,18,1,4,1,2,1,,0,,0,0,0,0,0,0,0,0,1,1,1,518.8,599.5,519.4,1,1.0,160.0,140.0,120.0,140.0,120.0,680.0
15,33,18,1,1,1,1,1,,0,,0,0,0,0,0,0,0,0,1,1,1,410.4,537.5,613.8,0,1.0,140.0,140.0,120.0,120.0,80.0,600.0
16,31,34,1,1,1,10,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
17,35,30,1,1,1,10,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
18,35,17,1,1,3,0,1,,1,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
19,21,21,2,1,1,2,1,,0,,0,0,0,0,0,0,0,0,1,1,1,371.9,444.5,449.2,0,1.0,80.0,80.0,80.0,80.0,60.0,380.0
20,35,17,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,390.3,546.3,477.8,1,1.0,120.0,140.0,120.0,120.0,40.0,540.0
21,23,25,1,1,1,8,1,,0,,0,0,0,0,0,0,0,0,1,1,0,546.6,569.8,,0,,,,,,,
22,29,37,4,1,1,6,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
